"D_Ctrl1.8m.mm10.nodup.q30"	"D_Ctrl2.8m.mm10.nodup.q30"	"D_Ctrl3.8m.mm10.nodup.q30"	"D_Ctrl4.8m.mm10.nodup.q30"	"D_Ctrl5.8m.mm10.nodup.q30"	"D_Ctrl6.8m.mm10.nodup.q30"	"D_Ctrl7.8m.mm10.nodup.q30"	"D_Ctrl8.8m.mm10.nodup.q30"	"D_Ctrl9.8m.mm10.nodup.q30"	"D_Ctrl10.8m.mm10.nodup.q30"	"D_Ctrl11.8m.mm10.nodup.q30"	"D_Ctrl12.8m.mm10.nodup.q30"	"D_Ctrl13.8m.mm10.nodup.q30"	"D_Ctrl14.8m.mm10.nodup.q30"	"D_Ctrl15.8m.mm10.nodup.q30"	"D_tDEN1.8m.mm10.nodup.q30"	"D_tDEN2.8m.mm10.nodup.q30"	"D_tDEN3.8m.mm10.nodup.q30"	"D_tDEN4.8m.mm10.nodup.q30"	"D_tDEN5.8m.mm10.nodup.q30"	"D_tDEN6.8m.mm10.nodup.q30"	"D_tDEN7.8m.mm10.nodup.q30"	"D_tDEN8.8m.mm10.nodup.q30"	"D_tDEN9.8m.mm10.nodup.q30"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"7:76830001-76840000"	0	0	0	0	1.45414167905959	0	0	0	0	1.72595166817544	0	0	0	0	0	14.1256074289989	0	0	0	6.59937794263513	7.55218061190977	2.80452850021458	0	0	0.0195758192210735	0.0195758192211156	4.0258897320433	NA	"upsig"	"upsig"	NA	NA
"4:17230001-17240000"	0	0	0	0	24.720408544013	5.76301322604332	0	1.46974054082337	0	12.9446375113158	1.460714556729	3.12076624173533	22.2258584067202	4.33413994085488	1.46521144796078	0	8.19981304426259	338.707897675288	74.0504604765565	30.7970970656306	39.6489482125263	27.3441528770922	30.8576826776651	213.809431505221	0.0125974000343509	0.0125974000343777	4.03708223758563	4.39644894041783	"upsig"	"upsig"	"upsig"	"upsig"
"13:17370001-17380000"	0	0	0	0	0.727070839529795	0	0	0	1.39966161780728	3.45190333635087	0	0	0	7.22356656809147	0	14.1256074289989	53.9821025413954	0	8.06490163606061	5.86611372678678	0	0	4.40824038252359	40.831662266622	0.015237126219499	0.0152371262195242	4.0504918599076	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"6:63740001-63750000"	1.39947063623714	0	0	438.657808986316	342.450365418533	7.20376653255415	4.24633528879432	4.4092216224701	1.39966161780728	188.99170766521	995.476970410816	0	42.1524900817107	111.965281805418	5.86084579184312	949.389509833244	4.0999065221313	4.92922096408943	992.71607411146	4473.64498089077	1075.24171462065	4.90792487537552	5248.01017539433	8932.48291621811	0.00966932432483002	0.0096693243248448	4.07517038658678	7.40412846429109	"upsig"	"upsig"	"upsig"	"upsig"
"1:101060001-101070000"	0	0	0	0	13.0872751115363	0	0	0	0	3.45190333635087	8.76428734037403	6.24153248347067	0	0	0	0	112.747429358611	0	21.9951862801653	14.665284316967	29.2646998711504	0	139.594278779914	5.93915087514502	0.0193085922941226	0.0193085922941636	4.0983933391986	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"9:10310001-10320000"	0	2.78761476697109	0	0	4.36242503717877	0	7.07722548132387	8.8184432449402	0	0	4.38214367018701	0	3.06563564230623	2.88942662723659	0	105.570329206203	175.612662697957	32.392023478302	14.6634575201102	11.7322274535736	4.72011288244361	7.7124533755901	0	7.42393859393127	0.0224353534309072	0.0224353534309434	4.1670880430184	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"9:5380001-5390000"	0	0	0	0	1.45414167905959	0	2.83089019252955	0	0	0	0	0	0	0	0	0	6.83317753688549	0	10.2644202640771	5.86611372678678	18.8804515297744	8.41358550064374	0	0	0.00425706588731978	0.00425706588732044	4.28893379702223	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"10:31650001-31660000"	1.39947063623714	4.18142215045663	0	1.41502519027844	7.27070839529795	0	0	0	0	6.90380667270174	0	0	0	0	0	106.313782228781	27.332710147542	9.85844192817886	13.1971117680992	29.3305686339339	2.83206772946616	2.80452850021458	0	58.649114892057	0.00703848007719327	0.00703848007720365	4.30060682355552	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:84840001-84850000"	6.99735318118568	0	0	5.66010076111375	4.36242503717877	0	1.41544509626477	0	0	0	5.84285822691602	0	0	7.22356656809147	0	0	8.19981304426259	0	68.9182503445179	31.5303612814789	13.2163160708421	2.80452850021458	39.6741634427123	213.809431505221	0.0318037405246435	0.0318037405246927	4.32243131081746	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"7:55460001-55470000"	0	0	0	0	0	0	0	0	0	3.45190333635087	0	0	0	0	0	0	10.9330840590168	1.40834884688269	16.1298032721212	1.46652843169669	1.88804515297744	0	0	10.3935140315038	0.00985115216855335	0.00985115216856847	4.34940509570521	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"11:68990001-69000000"	0	0	0	0	13.0872751115363	0	0	0	0	1.72595166817544	0	3.12076624173533	0	0	0	120.43938965778	1.3666355073771	2.81669769376539	4.39903725603306	23.4644549071471	4.72011288244361	0	66.1236057378539	0	0.0376058383128895	0.0376058383129392	4.37537358085297	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"11:10880001-10890000"	0	0	0	0	0	0	0	1.46974054082337	0	0	0	0	0	0	0	0	8.19981304426259	1.40834884688269	2.93269150402204	0	0	7.01132125053645	0	0	0.0212291666016122	0.0212291666016445	4.4706612731387	NA	"upsig"	"upsig"	NA	NA
"8:59830001-59840000"	0	0	0	1.41502519027844	1.45414167905959	0	0	0	0	0	0	1.56038312086767	0	0	0	13.38215440642	0	0	1.46634575201102	1.46652843169669	1.88804515297744	7.01132125053645	7.34706730420598	26.7261789381526	0.0101258278002316	0.0101258278002481	4.47946495018556	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"4:38900001-38910000"	0	0	0	0	0	0	0	2.20461081123505	0	0	0	0	0	0	0	17.8428725418934	5.46654202950839	2.81669769376539	0	0	1.88804515297744	0	4.40824038252359	0	0.0279833718624187	0.0279833718624568	4.61536048493183	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"15:43880001-43890000"	0	0	0	0	0	0	1.41544509626477	0	0	0	1.460714556729	0	0	5.05649659766403	0	73.6018492353102	4.0999065221313	0	10.2644202640771	0	1.88804515297744	16.1260388762338	0	13.3630894690763	0.0446732484055639	0.04467324840561	4.64813592415645	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"9:112850001-112860000"	0	0	0	16.9803022833412	145.414167905959	104.454614722035	48.1251332730023	5.87896216329346	0	5.17785500452631	16.7982174023835	28.086896175618	19.9266316749905	23.1154130178927	0	65.4238659869424	169.46280291476	3715.22425807655	47.6562369403581	10.2656990218769	495.611852656579	2084.46580778449	0	46.0284192823739	0.0434308745318959	0.0434308745319397	4.7393178419708	1.96150886795174	"upsig"	"upsig"	"upsig"	"upsig"
"11:16320001-16330000"	0	0	0	0	2.90828335811918	0	0	0	0	0	0	0	0	0	0	0	5.46654202950839	0	5.86538300804408	4.39958529509008	9.44022576488721	1.40226425010729	0	20.7870280630076	0.0074158940103961	0.00741589401040821	4.76242625754179	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"3:11590001-11600000"	0	0	0	2.83005038055687	1.45414167905959	0	1.41544509626477	0	0	0	0	0	0	0	0	44.6071813547335	25.9660746401649	0	0	0	0	22.4362280017167	0	0	0.0280196449455035	0.0280196449455417	4.76540144267525	NA	"upsig"	"upsig"	NA	NA
"7:18760001-18770000"	0	0	0	0.707512595139219	0	0	0	0	0	0	0	0	0.766408910576558	0	0	12.6387013838412	8.19981304426259	1.40834884688269	1.46634575201102	1.46652843169669	0	0	1.4694134608412	1.48478771878625	0.0118345160257974	0.0118345160258209	4.99154553217923	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"11:77230001-77240000"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.0363794610992	2.7332710147542	2.11252327032404	4.39903725603306	0	1.88804515297744	14.0226425010729	94.7771682242572	1.48478771878625	0.0274736753154258	0.0274736753154794	Inf	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"9:54120001-54130000"	13.9947063623714	0	0	0	11.6331334324767	0	11.3235607701182	136.685870296573	36.3912020629893	81.1197284042455	96.4071607441143	112.347584702472	19.9266316749905	8.66827988170976	0	0	0	0	1.46634575201102	4.39958529509008	3.77609030595488	0	0	0	0.0415931682674857	0.0415931682675331	-5.03945259619123	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"11:67490001-67500000"	1033.50906486113	0	0	571.670176872489	79.9777923482774	852.205580801155	237.08705362435	2.93948108164673	97.9763132465095	70.7640183951929	61.3500113826182	122.490074988112	497.399382964186	17.3365597634195	0	0	5.46654202950839	4.22504654064808	44.7235454363361	11.7322274535736	0	0	2.93882692168239	0	0.0492029253094587	0.0492029253095	-4.98429552833387	-4.76628715754963	"downsig"	"downsig"	"downsig"	"downsig"
"13:19360001-19370000"	22.3915301797942	0	0	4.24507557083531	4.36242503717877	47.5448591148574	33.9706823103546	0	13.2967853691691	1.72595166817544	0	6.24153248347067	10.7297247480718	46.2308260357854	0	0	0	0	0	4.39958529509008	0	0	0	0	0.0431275752395191	0.0431275752395622	-4.70112588138908	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"7:61050001-61060000"	8.39682381742282	16.0287849100837	0	41.0357305180747	0.727070839529795	41.781845888814	4.24633528879432	1.46974054082337	0	24.1633233544561	0	0	22.2258584067202	4.33413994085488	61.5388808143528	2.97381209031557	0	0	1.46634575201102	0	0	0	0	1.48478771878625	0.0379736257937398	0.0379736257937904	-4.51608289572089	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"3:44700001-44710000"	0	40.4204141210807	0	7.07512595139219	17.4497001487151	0	11.3235607701182	16.167145949057	4.19898485342184	37.9709366998596	10.225001897103	1.56038312086767	6.13127128461246	2.88942662723659	0	0	0	0	4.39903725603306	0	0	0	0	0	0.0353022564037272	0.0353022564037709	-4.40580022946128	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"4:67610001-67620000"	49.6812075864184	4.18142215045663	0	21.2253778541766	7.99777923482774	0	2.83089019252955	10.2881837857636	0	32.7930816953333	33.5964348047671	29.6472792964857	2.29922673172967	18.0589164202287	0	0	1.3666355073771	0	0	0	5.66413545893233	0	0	1.48478771878625	0.0216536225649528	0.0216536225649865	-3.90492964888498	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"11:8680001-8690000"	22.3915301797942	0	0	33.2530919715433	48.7137462484962	37.4595859692816	6.36950293319149	0	0	0	20.4500037942061	12.4830649669413	2.29922673172967	1.44471331361829	29.3042289592156	0	0	0	8.79807451206612	0	0	0	0	0	0.0265858422730925	0.0265858422731429	-3.86845039341182	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"10:101600001-101610000"	0	5.57522953394217	12.7482978897601	8.49015114167062	13.0872751115363	0	5.6617803850591	0	19.5952626493019	19.8484441840175	0	0	10.7297247480718	10.8353498521372	0	0	0	0	1.46634575201102	2.93305686339339	0	0	0	0	0.0124405413593723	0.0124405413593986	-3.86140484389025	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"13:32100001-32110000"	0	36.2389919706241	0	11.3202015222275	14.5414167905959	66.2746520994981	14.1544509626477	0	0	10.3557100090526	59.1589395475247	4.681149362603	72.808846504773	17.3365597634195	0	0	0	0	5.86538300804408	5.86611372678678	0	0	0	1.48478771878625	0.0388917486317218	0.0388917486317748	-3.80027778876013	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"5:10470001-10480000"	0	52.2677768807079	0	7.07512595139219	12.3602042720065	0	20.5239538958392	0	0	20.7114200181052	10.9553591754675	17.1642143295443	22.9922673172967	5.77885325447318	0	1.48690604515778	0	0	1.46634575201102	0	3.77609030595488	0	0.734706730420598	0	0.039765528675902	0.0397655286759454	-3.77101649251414	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"10:15210001-15220000"	25.1904714522685	0	0	1.41502519027844	1.45414167905959	0	1.41544509626477	7.34870270411683	31.4923864006638	24.1633233544561	37.9785784749541	0	27.5907207807561	2.88942662723659	7.3260572398039	0	1.3666355073771	0	2.93269150402204	1.46652843169669	1.88804515297744	0	0	0	0.0357500709294843	0.0357500709295291	-3.72142436920388	-Inf	"downsig"	"downsig"	"downsig"	"downsig"
"1:148050001-148060000"	36.3862365421656	4.18142215045663	109.777009606267	0	14.5414167905959	86.4451983906498	8.49267057758865	45.5619567655244	1.39966161780728	41.4228400362105	17.5285746807481	20.2849805712797	22.2258584067202	7.22356656809147	14.6521144796078	0	0	0.704174423441347	4.39903725603306	4.39958529509008	3.77609030595488	2.80452850021458	0	4.45436315635876	0.0217146687289826	0.0217146687290164	-3.65143331107599	-2.64387854032165	"downsig"	"downsig"	"downsig"	"downsig"
