"D_Ctrl1.8m.mm10.nodup.q30"	"D_Ctrl2.8m.mm10.nodup.q30"	"D_Ctrl3.8m.mm10.nodup.q30"	"D_Ctrl4.8m.mm10.nodup.q30"	"D_Ctrl5.8m.mm10.nodup.q30"	"D_Ctrl6.8m.mm10.nodup.q30"	"D_Ctrl7.8m.mm10.nodup.q30"	"D_Ctrl8.8m.mm10.nodup.q30"	"D_Ctrl9.8m.mm10.nodup.q30"	"D_Ctrl10.8m.mm10.nodup.q30"	"D_Ctrl11.8m.mm10.nodup.q30"	"D_Ctrl12.8m.mm10.nodup.q30"	"D_Ctrl13.8m.mm10.nodup.q30"	"D_Ctrl14.8m.mm10.nodup.q30"	"D_Ctrl15.8m.mm10.nodup.q30"	"D_tDEN1.8m.mm10.nodup.q30"	"D_tDEN2.8m.mm10.nodup.q30"	"D_tDEN3.8m.mm10.nodup.q30"	"D_tDEN4.8m.mm10.nodup.q30"	"D_tDEN5.8m.mm10.nodup.q30"	"D_tDEN6.8m.mm10.nodup.q30"	"D_tDEN7.8m.mm10.nodup.q30"	"D_tDEN8.8m.mm10.nodup.q30"	"D_tDEN9.8m.mm10.nodup.q30"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"1:3170001-3180000"	0	1.39380738348554	0	0	18.9038418277747	0	7.07722548132387	2.93948108164673	0	15.5335650135789	5.84285822691602	0	6.13127128461246	0	0	8.1779832483678	24.5994391327878	0	17.5961490241322	5.86611372678678	1.88804515297744	9.81584975075103	75.6747932333216	40.0892684072289	0.0181640257447431	0.0181640257447796	2.40468556252737	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:3440001-3450000"	0	38.3297030458524	0	31.8380667812648	2.90828335811918	1.44075330651083	4.95405783692671	0	3.4991540445182	17.2595166817544	0	0	1.53281782115312	2.88942662723659	0	145.716792425463	0	0.704174423441347	23.4615320321763	14.665284316967	20.7684966827519	66.6075518800963	97.7159951459396	0	0.0211625077876543	0.0211625077876867	2.55748895927026	3.7601386464562	"upsig"	"upsig"	"upsig"	"upsig"
"1:3550001-3560000"	0	24.391629210997	0	15.5652770930628	6.54363755576815	0	2.83089019252955	36.7435135205842	1.39966161780728	24.1633233544561	2.19107183509351	1.56038312086767	22.9922673172967	15.1694897929921	0	26.0208557902612	4.0999065221313	33.0961979017433	24.9278777841873	0	23.600564412218	53.286041504077	9.55118749546778	86.8600815489959	0.0275861363303201	0.0275861363303738	1.50474118692023	3.13843237061067	"upsig"	"upsig"	"upsig"	"upsig"
"1:3640001-3650000"	0	0	0	2.83005038055687	13.8143459510661	0	8.49267057758865	5.87896216329346	0	9.4927341749649	23.3714329076641	0	4.59845346345935	0	0	34.198839038629	4.78322427581984	0	24.9278777841873	8.79917059018017	15.1043612238195	0	31.5923894080857	19.3022403442213	0.0131878837480762	0.0131878837481055	1.75529150208782	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:3740001-3750000"	0	2.78761476697109	0	22.640403044455	14.5414167905959	0	0	5.87896216329346	13.9966161780728	18.9854683499298	2.92142911345801	14.043448087809	6.13127128461246	0	0	104.083423161045	34.849205438116	30.9836746314193	20.5288405281543	40.3295318716591	13.2163160708421	0	0	13.3630894690763	0.0175745714668639	0.0175745714668979	2.07318923011259	2.81290595734462	"upsig"	"upsig"	"upsig"	"upsig"
"1:3810001-3820000"	0	0	0	0	5.81656671623836	0	2.83089019252955	0	0	3.45190333635087	0	0	1.53281782115312	0	5.86084579184312	0	11.6164018127053	5.63339538753078	7.3317287600551	5.86611372678678	0	4.20679275032187	4.40824038252359	0	0.0217452283961924	0.0217452283962262	1.7397983553406	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:3840001-3850000"	0	0	0	0	1.45414167905959	0	0	0	0	0	5.11250094855152	4.681149362603	0	1.44471331361829	0	2.23035906773667	10.9330840590168	2.81669769376539	10.2644202640771	4.39958529509008	1.88804515297744	0	1.4694134608412	5.93915087514502	0.00481217825091342	0.0048121782509134	2.39085036691491	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:4090001-4100000"	0	0	0	4.24507557083531	7.27070839529795	0	4.24633528879432	0	0	12.0816616772281	0	0	3.83204455288279	1.44471331361829	0	141.999527312568	0	7.04174423441347	26.3942235361984	30.7970970656306	16.0483838003083	19.6316995015021	16.1635480692532	0	0.0274554373776274	0.0274554373776809	3.69896477905599	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:4100001-4110000"	2.79894127247427	14.6349775265982	0	4.24507557083531	0	0	26.1857342808983	12.4927945969986	0	12.0816616772281	23.3714329076641	1.56038312086767	10.7297247480718	2.88942662723659	0	49.0678994902068	19.1328971032794	4.22504654064808	21.2620134041598	12.4654916694219	29.2646998711504	0	33.7965095993475	0	0.0378299622866638	0.0378299622867139	1.3453876060669	2.72720020274718	"upsig"	"upsig"	"upsig"	"upsig"
"1:4150001-4160000"	0	0	0	8.49015114167062	1.45414167905959	0	5.6617803850591	0	0	3.45190333635087	1.460714556729	53.8332176699345	7.66408910576558	21.6706997042744	0	3.71726511289446	47.1489250045099	26.7586280907712	18.3293219001377	14.665284316967	16.992406376797	18.9305673764484	5.87765384336479	81.663324533244	0.0233322263262224	0.0233322263262615	1.91175726283066	3.65591366882678	"upsig"	"upsig"	"upsig"	"upsig"
"1:4870001-4880000"	0	0	1.41647754330668	10.6126889270883	5.81656671623836	0	0	0	0	24.1633233544561	0	1.56038312086767	0	10.1129931953281	0	40.889916241839	23.9161213790992	12.6751396219442	19.0624947761433	23.4644549071471	3.77609030595488	8.41358550064374	0	19.3022403442213	0.00251729779809442	0.00251729779808518	2.23376183782539	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:4880001-4890000"	4.19841190871141	0	12.7482978897601	14.1502519027844	3.63535419764897	5.76301322604332	0	0	2.09949242671092	5.17785500452631	1.460714556729	24.9661299338827	0	13.0024198225646	0	22.3035906773667	2.7332710147542	4.22504654064808	26.3942235361984	17.5983411803603	25.4886095651955	0	17.6329615300944	16.3326649066488	0.0191693758651128	0.0191693758651532	1.34279649341864	2.27527160693353	"upsig"	"upsig"	"upsig"	"upsig"
"1:4950001-4960000"	0	20.2102070605404	0	20.5178652590373	7.99777923482774	5.0426365727879	0	14.6974054082337	2.79932323561456	13.8076133454035	0	10.9226818460737	9.19690692691869	5.05649659766403	0	0	20.4995326106565	9.85844192817886	10.2644202640771	4.39958529509008	10.3842483413759	46.2747202535406	33.7965095993475	34.1501175320838	0.0233700532123163	0.0233700532123554	1.35857185341687	1.03818672878443	"upsig"	"upsig"	"upsig"	"upsig"
"1:5050001-5060000"	0	0	1.41647754330668	8.49015114167062	5.81656671623836	0	4.24633528879432	0	0	18.9854683499298	2.92142911345801	0	6.13127128461246	11.5577065089464	0	123.413201748096	10.9330840590168	0	14.6634575201102	38.1297392241141	16.992406376797	1.40226425010729	33.7965095993475	5.93915087514502	0.0286631999826963	0.0286631999827363	2.77878868177019	3.37184568428823	"upsig"	"upsig"	"upsig"	"upsig"
"1:5070001-5080000"	0	11.1504590678843	0	1.41502519027844	10.1789917534171	1.44075330651083	1.41544509626477	0	0	1.72595166817544	4.38214367018701	0	1.53281782115312	0	4.39563434388234	5.94762418063113	13.666355073771	0	3.66586438002755	13.1987558852703	10.3842483413759	1.40226425010729	19.1023749909356	0	0.0292802163392449	0.0292802163392866	1.57685793637842	2.07105769944476	"upsig"	"upsig"	"upsig"	"upsig"
"1:5340001-5350000"	0	0	0	1.41502519027844	8.72485007435754	1.44075330651083	2.83089019252955	1.46974054082337	3.4991540445182	13.8076133454035	0	3.12076624173533	0	2.88942662723659	0	22.3035906773667	2.04995326106565	11.2667907750616	16.1298032721212	22.7311906912988	9.44022576488721	0	35.2659230601887	0	0.00416947496182124	0.00416947496182118	2.34133822861454	2.96718140195271	"upsig"	"upsig"	"upsig"	"upsig"
